"high","low","m1","m2","nview","ncol","start_angle","dshift","R","D","mA","FOV","xmin","ymin","kV"
"exam3_high_1.raw","exam3_low_1.raw","exam3_m1_1.raw","exam3_m2_1.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_2.raw","exam3_low_2.raw","exam3_m1_2.raw","exam3_m2_2.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_3.raw","exam3_low_3.raw","exam3_m1_3.raw","exam3_m2_3.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_4.raw","exam3_low_4.raw","exam3_m1_4.raw","exam3_m2_4.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_5.raw","exam3_low_5.raw","exam3_m1_5.raw","exam3_m2_5.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_6.raw","exam3_low_6.raw","exam3_m1_6.raw","exam3_m2_6.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_7.raw","exam3_low_7.raw","exam3_m1_7.raw","exam3_m2_7.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_8.raw","exam3_low_8.raw","exam3_m1_8.raw","exam3_m2_8.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_9.raw","exam3_low_9.raw","exam3_m1_9.raw","exam3_m2_9.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_10.raw","exam3_low_10.raw","exam3_m1_10.raw","exam3_m2_10.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_11.raw","exam3_low_11.raw","exam3_m1_11.raw","exam3_m2_11.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_12.raw","exam3_low_12.raw","exam3_m1_12.raw","exam3_m2_12.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_13.raw","exam3_low_13.raw","exam3_m1_13.raw","exam3_m2_13.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_14.raw","exam3_low_14.raw","exam3_m1_14.raw","exam3_m2_14.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_15.raw","exam3_low_15.raw","exam3_m1_15.raw","exam3_m2_15.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_16.raw","exam3_low_16.raw","exam3_m1_16.raw","exam3_m2_16.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_17.raw","exam3_low_17.raw","exam3_m1_17.raw","exam3_m2_17.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_18.raw","exam3_low_18.raw","exam3_m1_18.raw","exam3_m2_18.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_19.raw","exam3_low_19.raw","exam3_m1_19.raw","exam3_m2_19.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_20.raw","exam3_low_20.raw","exam3_m1_20.raw","exam3_m2_20.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_21.raw","exam3_low_21.raw","exam3_m1_21.raw","exam3_m2_21.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_22.raw","exam3_low_22.raw","exam3_m1_22.raw","exam3_m2_22.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_23.raw","exam3_low_23.raw","exam3_m1_23.raw","exam3_m2_23.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_24.raw","exam3_low_24.raw","exam3_m1_24.raw","exam3_m2_24.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_25.raw","exam3_low_25.raw","exam3_m1_25.raw","exam3_m2_25.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_26.raw","exam3_low_26.raw","exam3_m1_26.raw","exam3_m2_26.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_27.raw","exam3_low_27.raw","exam3_m1_27.raw","exam3_m2_27.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
"exam3_high_28.raw","exam3_low_28.raw","exam3_m1_28.raw","exam3_m2_28.raw",1968,888,-52.2984485,1.125,538.52,946.746,715,157.5,-139.2,-157.5,140
